Time: 1575000060, Messages: 0, Members Joined: 0
Time: 1575000065, Messages: 0, Members Joined: 0
Time: 1575000070, Messages: 0, Members Joined: 0
Time: 1575000075, Messages: 0, Members Joined: 0
Time: 1575000080, Messages: 0, Members Joined: 0
Time: 1575000085, Messages: 0, Members Joined: 0
Time: 1575000090, Messages: 0, Members Joined: 0
Time: 1575000095, Messages: 0, Members Joined: 0
Time: 1575000100, Messages: 0, Members Joined: 0
Time: 1575000105, Messages: 0, Members Joined: 0
Time: 1575000114, Messages: 0, Members Joined: 0
Time: 1575000119, Messages: 0, Members Joined: 0
Time: 1575000124, Messages: 2, Members Joined: 0
Time: 1575000129, Messages: 2, Members Joined: 0
Time: 1575000134, Messages: 0, Members Joined: 0
Time: 1575000139, Messages: 0, Members Joined: 0
Time: 1575000144, Messages: 0, Members Joined: 0
Time: 1575000149, Messages: 0, Members Joined: 0
Time: 1575000154, Messages: 0, Members Joined: 0
Time: 1575000159, Messages: 0, Members Joined: 0
Time: 1575000164, Messages: 0, Members Joined: 0
Time: 1575000169, Messages: 0, Members Joined: 0
Time: 1575000174, Messages: 0, Members Joined: 0
Time: 1575000179, Messages: 0, Members Joined: 0
Time: 1575000184, Messages: 0, Members Joined: 0
Time: 1575000189, Messages: 0, Members Joined: 0
Time: 1575000194, Messages: 0, Members Joined: 0
Time: 1575000199, Messages: 0, Members Joined: 0
Time: 1575000204, Messages: 0, Members Joined: 0
Time: 1575000209, Messages: 0, Members Joined: 0
Time: 1575000214, Messages: 0, Members Joined: 0
Time: 1575000219, Messages: 0, Members Joined: 0
Time: 1575000230, Messages: 0, Members Joined: 0
Time: 1575000235, Messages: 2, Members Joined: 0
Time: 1575000240, Messages: 0, Members Joined: 0
Time: 1575000245, Messages: 0, Members Joined: 0
Time: 1575000250, Messages: 0, Members Joined: 0
Time: 1575000255, Messages: 0, Members Joined: 0
Time: 1575000260, Messages: 0, Members Joined: 0
Time: 1575000265, Messages: 0, Members Joined: 0
Time: 1575000270, Messages: 0, Members Joined: 0
Time: 1575000275, Messages: 0, Members Joined: 0
Time: 1575000280, Messages: 0, Members Joined: 0
Time: 1575000285, Messages: 1, Members Joined: 0
Time: 1575000290, Messages: 0, Members Joined: 0
Time: 1575000295, Messages: 0, Members Joined: 0
Time: 1575000300, Messages: 0, Members Joined: 0
Time: 1575000305, Messages: 0, Members Joined: 0
Time: 1575000310, Messages: 0, Members Joined: 0
Time: 1575000315, Messages: 0, Members Joined: 0
Time: 1575000320, Messages: 0, Members Joined: 0
Time: 1575000325, Messages: 0, Members Joined: 0
